프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,참고사항,수학가능학과/영어강의목록 등,웹사이트,특이사항,언어권,수학가능전공분야,summary_location,summary_weather,summary_academic,summary_safety
일반교환,자매대학,E0031,유럽,독일,보름스대,Worms University of Applied Sciences,-,"영어(유럽) B-2 
독일어 E-2","· 위치: Worms
· 특징: 학생 수 약 3,700명","· 수학가능학과: Computer Sciences, Business Management, Tourism & Travel Management
· 일부과목 수강가능, 일부과목 영어사용
· 수강가능과목(2025): 독일어, 영어
· https://www.hs-worms.de/international/incoming-students/exchange-students/course-offer-in-english/",https://www.hs-worms.de/international/incoming-students/exchange-students/,,"독일어, 영어(유럽)","['경영/경제', '공학/기술', '관광/호텔/레저', '자연과학']","독일 교통은 비교적 비싸지만, 학생 ID 카드를 이용하면 버스를 무료로 탈 수 있습니다. 또한, DB Navigator 앱과 Google Maps를 활용하여 기차와 버스를 쉽게 이용하고, 보름스는 유럽국가로의 이동이 편리한 중심지에 위치합니다. 보름스 대학교는 프랑크푸르트 암마인 공항과 가까워 독일의 교통권 시스템을 활용하여 편리하게 이동할 수 있습니다. 프랑크푸르트 암마인 공항에서 한 번의 환","한국과 비슷한 기후를 가졌지만 더 건조한 독일은 보습 크림이 필요하며, 계절에 상관없이 갑자기 추워지는 날이 있어 전기장판이 유용합니다. 여름에는 햇볕에 대비하고, 겨울에는 매우 추운데 적절한 옷차림이 필요하며, 날씨가 흐리고 추운 겨울에는 따뜻한 옷을 챙겨야 합니다.","학교는 시설이 잘 갖춰져 있으며, 학부/학과별 수업 규정을 주의깊게 살펴야 합니다. 학교는 수업 계획이 변할 수 있어 미리 대비해야 하며, 수강신청 사이트와 리스트 정보가 다를 경우 꼭 인터내셔널 센터에 확인해야 합니다. 기숙사는 제공되지 않지만, 시설은 잘 갖춰져 있고, 수업은 적절한 어려움을 가졌습니다. 학교는 작고 아담하며, 주로 도서관, 학생식당, 컴","독일에서의 생활 환경은 안전하고 안정적하며, 필요한 시설들이 잘 갖춰져 조용한 분위기에서 이루어졌습니다."
일반교환,자매대학,E0034,유럽,독일,로이파나대,Leuphana University of Luneburg,-,"영어(유럽) B-2 
독일어 E-2","· 위치: Lüneburg
· 특징: 학생 수 약 10,000명","· 수학가능학과: Digital Media, Economics, Global Environmental & Sustainability Studies, International Business Administration & Entrepreneurship, Psychology (Principles), StudiumIndividuale
· 일부과목 수강가능
· 수강가능과목: 독일어, 영어
· https://mystudy.leuphana.de/portal/home?error=nosession&request=%2Fvvz%2Fshow",https://www.leuphana.de/en/services/io/incomings/exchange.html,,"독일어, 영어(유럽)","['경영/경제', '공학/기술', '사회과학', '자연과학', '커뮤니케이션/미디어']","학생들이 작성한 '위치 및 교통'에 대한 요약 내용은 함부르크 공항에서 뤼네부르크까지 이동이 쉽고, 뤼네부르크는 함부르크 바로 옆에 위치한 작은 동네로 대도시인 함부르크로 이동이 쉽지만 유럽 여행을 고려한다면 조금 불편할 수 있습니다. 뤼네부르크는 독일 북부에 위치하여 함부르크와 가깝고 대중교통을 이용하여 여행하기에 편리하며, 로이파나 대학교는 작은 유","겨울에는 매우 추운 뤼네부르크로, 방한 준비가 필요합니다. 여름에는 뤼네부르크가 예쁜 마을이며, 호수가 있어 수영하기 좋습니다. 독일 북쪽은 4월 중순에도 쌀쌀하며 비가 오고 해가 나가는 변덕스러운 날씨를 경험합니다. 날씨는 계절에 따라 매우 다양하며, 겨울은 춥고 습합니다.","학교는 다양한 국제 학생들을 위한 영어 수업을 강조하며, 학습 환경과 시설이 만족스럽고 깔끔하며 헬스장을 이용할 수 있습니다. 수업은 적절한 어려움과 출석 관련 점수가 없는 자율적인 분위기에서 이루어지며, 경제학과와 경영학과에서는 이해하기 쉬운 다양한 영어 과목이 제공됩니다.","학생들은 현지에서 안전하고 안정적인 생활을 즐길 수 있었으며, 주거 환경이 안정적이고 주변 환경도 안전했습니다. 뤼네부르크는 안전하고 평화로운 분위기에서 안정적으로 생활할 수 있었으며, 도시는 비교적 안전하고 친절한 사람들이 살았습니다. 인종차별은 가끔 있었지만 큰 문제는 없었습니다."
일반교환,자매대학,E0036,유럽,독일,플렌스부르크대,Europa-Universitat Flensburg,-,"TOEFL(iBT) 78
독일어 E-1","· 위치: Flensburg
· 특징: 학생 수 약 6,200명
· 2학년부터 지원 가능(2개 학기 이상 수료)","· 수학가능학과: B.A. European Cultures and Society (100% in English), B.A. International Management (Trilingual: German, English, Spanish or Danish), B.A. Social Sciences: Social and Political Change (Bilingual: German, English), B.A. Transcultural European Studies (German, Spanish, French), B.A. Education
· 수강가능과목
· 1) https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students#c138281
· 2) course catalogue: https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students/courses-fall-semester",https://www.uni-flensburg.de/en/international,,"독일어, 영어(유럽)","['경영/경제', '공학/기술', '교육학', '사회과학', '자연과학']",,,,
일반교환,자매대학,E0037,유럽,독일,페히타대,University of Vechta,-,"영어(유럽) B-2
독일어 E-2","· 위치: Vechta
· 특징: teacher training, social service, gerontology 분야에 주력","· 수학가능학과: 모든학과 선택가능(Bachelor)
· International Management and Practical Ethic, Social Work and Gerontology
· 수강가능과목(대부분 독일어 사용)
· https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies",https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies,"· 대부분의 수업이 독일어로 진행
· 독일어 E2 권장","독일어, 영어(유럽)","['경영/경제', '사회과학']",페히타 대학교는 작은 소도시에 위치해 있어 브레멘 공항과 가까워 이동이 편리합니다.,독일의 날씨는 매우 변덕스럽고 예보가 불확실하여 항상 방수가 되는 바람막이를 챙겨다녀야 합니다.,수업 환경이 쾌적하고 수강 신청 절차가 원활했습니다.,독일 소도시 페히타에서 안전하고 조용한 환경에서 안정적으로 생활했습니다.
일반교환,자매대학,E0038,유럽,라트비아,BA 경영경제대,BA School of Business and Finance,-,영어(유럽) B-2,"· 위치: Riga
· 특징: 학생 수 약 1,500명","· 수학가능학과: Business Administration, Finance, Risk management and Insurance, Innovation and Product Development in Business
· 일부과목 수강가능
· 수강가능과목(2024): 라트비아어 또는 영어
· https://www.ba.lv/studies/erasmus-opportunities/to-ba/study-courses/#1632996032443-364f5a87-6dd0
· Language of instruction 확인 필요",https://www.ba.lv/studies/erasmus-opportunities/to-ba/required-documentation/,,영어(유럽),"['경영/경제', '공학/기술']","학교는 도심과 가까운 위치에 있어 교통이 편리합니다. 다름슈타트는 작은 도시이지만 중앙역과 공항 간 접근성이 좋아 교통이 편리하며, 파리 외곽도시 Creteil에 위치한 학교는 8호선 지하철역이 인접해 대중교통 이용이 편리합니다. 스위스는 유럽 내 다른 국가들과 가까운 위치에 있어 교통시설이 잘 발달되어 있어 여행하기 편리하며, El prat Airport 1 터미널에","일본은 온도가 영하로 내려가지 않아 추운 지역이 아니며, 독일은 겨울에 흐리고 추운데 봄에도 눈이 올 수 있어 외투가 필요합니다. 프랑스는 겨울에 비가 많이 오고 난방 시스템이 다르므로 전기장판이 필요하며, 스위스는 아직 날씨가 춥습니다. 바르셀로나는 겨울은 은근히 춥지만 건조하지 않아 방한 준비가 필요하며, 폴란드는 한국보다 춥고 초겨울 쌀쌀","학교는 시설이 잘 갖춰져 있으며, 수업은 다양한 언어로 이루어져 있어 학생들의 언어적 성장을 도와줍니다. 또한, 팀플이 많이 있어 경험을 쌓기에 좋고, 학점을 얻기 쉬운 적절한 수준의 수업이 제공됩니다.","다양한 국가에서의 생활은 상대적으로 안전하고 안정적이었으며, 교환학생 생활을 통해 다양한 경험을 쌓을 수 있었습니다."
일반교환,자매대학,E0039,유럽,라트비아,리에파야대,Liepaja University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800","· 위치: Liepāja
· 특징: 학생 수 약 1,500명","· 수학가능학과: Science and Engineering, Humanities and Arts, Pedagogy and Social Work, Mangement and Social Sciences
· 일부과목 수강가능
· 수강가능과목(2021): https://www.liepu.lv/en/36/offered-subjects
· Work Language 확인 필요",https://www.liepu.lv/en/38/erasmus-mobility,,영어(유럽),"['공학/기술', '교육학', '사회과학', '예술/디자인', '인문학', '자연과학']","리에파야 대학교는 도심에 위치하여 은행, 호텔, 식당, 마트 등이 주변에 편리하게 위치해 있습니다. 대중교통(버스, 트램)을 이용할 수 있어 교통이 편리합니다. 반면, 학교가 리에파야 센터에 위치해 있어 공항까지 이동하는 데 적어도 4시간이 소요됩니다.",겨울은 매우 추우며 바람이 강하니 방한 준비가 필요합니다. 리에파야는 겨울이 한국보다는 쌀쌀하지만 훨씬 추운 편은 아닙니다.,"학교 시설은 잘 갖춰져 있었고, 교수님들의 지원으로 학업이 원활했습니다. 수업은 학생들 간의 활발한 대화와 토론이 중심이었으며 교수와의 소통이 원활했습니다.","현지에서의 생활환경은 처음에는 어색했지만 시간이 지남에 따라 적응되어 안전하고 안정적으로 보낼 수 있었으며, 비교적 안전하고 주변 사람들도 친절하여 안정적으로 보낼 수 있었습니다."
일반교환,자매대학,E0040,유럽,러시아,모스크바대,Moscow State University,-,"TOEFL 80
IELTS 6.0","· 위치: Moscow
· 특징: 학생 수 약 47,000명
· 러시아 1위 대학
· 본교와 교류 중인 한국인 교수님 (한국어 학과) 있음.","· 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음
· 수강가능과목: https://international.msu.ru/mobility-en#english_courses",https://international.msu.ru/mobility,· TOEIC/TOEFL ITP 제외,영어(유럽),['공학/기술'],기숙사와 대학은 도심 지역에 위치하여 교통이 편리합니다.,4월은 쌀쌀하고 변덕스러운 기후를 가지고 있어서 우산을 항상 준비하는 것이 좋습니다.,"학교 시설은 조잡하지만 위치는 우수하며, 수업은 유연하고 진행 속도가 느립니다. 위치는 우수하고 수업은 유연하지만 진행 속도는 느린 학교 시설입니다.","기숙사와 학교 주변은 안전하며, 불편한 점이 있더라도 안전은 큰 문제가 없었습니다."
일반교환,자매대학,E0041,유럽,러시아,로스토프경제대,Rostov State University of Economics,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800","· 위치: Rostov-on-Don
· 특징: 학생 수 약 23,000명","· 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음
· 수강가능과목: https://rsue.ru/raspisanie/
· 각 과목의 수강요건 확인 필요",https://en.rsue.ru,,영어(유럽),['직접확인'],,,,
일반교환,자매대학,E0042,유럽,러시아,우랄연방대,Ural Federal University,-,영어(유럽) B-2,"· 위치: Yekaterinburg
· 특징: 학생 수 약 35,000명","· 수학가능학과: Economics and Management(상경계열)
· 하단(수강가능과목) 참조
· 수강가능과목(2024): https://urfu.ru/fileadmin/user_upload/urfu.ru_en/Docs/UrFU_List_of_courses_taught_in_English_2023-2024.pdf",https://urfu.ru/en/international/inbound-mobility/,· TOEIC 제외,영어(유럽),['경영/경제'],,,,
일반교환,자매대학,E0043,유럽,러시아,튜멘대,University of Tyumen,-,영어(유럽) B-2,"· 위치: Tyumen (러시아 천연 자원의 중심지)
· 특징: 학생 수 약 27,000명
· 현지에 Korean Center 있음","· 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음
· 수강가능과목: 영어
· https://www.utmn.ru/en/study-with-us/step/",https://www.utmn.ru/o-tyumgu/mezhdunarodnaya-deyatelnost/studentam-tyumgu/studencheskiy-obmen-s-universitetami-partnerami/,,영어(유럽),['공학/기술'],,,,
일반교환,자매대학,E0044,유럽,러시아,부랴트 국립대,(Banzarov) Buryat State University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800","· 위치: Ulan-Ude
· 특징: 학생 수 약 11,198명","· 수학가능학과: Biology & Geography and Land Management, Social Work and Psychology, Chemistry, Physical Training & Sport and Tourism, History, Law
· 일부과목 수강가능
· 수강가능과목: https://www.bsu.ru/abit/international/
· https://www.bsu.ru/university/international/
· Brochure ""Admission campaign -2021""
· 각 과목의 수강요건 확인 필요",https://en.bsu.ru/intenational-cooperation/ird/,,영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '법학', '사회과학', '스포츠과학', '인문학', '자연과학']",,,,
일반교환,자매대학,E0045,유럽,러시아,국립 모스크바 외국어 대학교,Moscow State Linguistic University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800","· 위치: Moscow
· 특징: 학생 수 약 10,000명
· 언어학 분야에서 러시아 최상위권 대학","· 수학가능학과: International Relations and Socio-Political Sciences, Translation, International Law and Justice, Information Sciences, English, German, French, Humanities and Applied Sciences, International Educational Programs
· 일부과목 수강가능
· 수강가능과목: https://linguanet.ru/sotrudnichestvo/inostrannym-studentam/uchebnaya-programma-dlya-inostrannykh-studentov-/
· 각 과목의 수강요건 확인 필요",https://linguanet.ru/sotrudnichestvo/upravlenie-mezhdunarodnogo-sotrudnichestva/informatsiya-dlya-inostrannykh-studentov/,· 대부분의 수업이 러시아어로 진행,영어(유럽),"['공학/기술', '교육학', '법학', '사회과학', '인문학', '자연과학']",국립언어대학교는 모스크바 중심에 위치하여 교통이 편리합니다.,"4월까지는 쌀쌀하고 변덕스러운 기후로 우산을 항상 준비하는 것이 좋습니다. 또한, 매우 건조하기 때문에 수분 보충이 중요합니다.","학교시설은 남녀 구분 없이 사용되며 교통이 편리하고, 열악하지만 수업은 유연하게 조정 가능했습니다.",생활환경은 안전하고 안정적하여 학생들은 안전 및 환경 정보를 적극 파악하여 삶의 질을 향상시켰습니다.
